Main
Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company,Stock
4/13/2017,141.91,142.38,141.05,141.05,17822880,0,1,140.7605089,141.2267018,139.907475,139.907475,17822880,Apple,AAPL
4/12/2017,141.6,142.15,141.01,141.8,20350000,0,1,140.4530199,140.9985648,139.867799,140.6513999,20350000,Apple,AAPL
4/11/2017,142.94,143.35,140.06,141.63,30379376,0,1,141.7821657,142.1888446,138.9254941,140.4827769,30379376,Apple,AAPL
4/10/2017,143.6,143.8792,142.9,143.17,18933397,0,1,142.4368196,142.7137581,141.7424897,142.0103027,18933397,Apple,AAPL
4/7/2017,143.73,144.18,143.27,143.34,16658543,0,1,142.5657666,143.0121215,142.1094927,142.1789256,16658543,Apple,AAPL
4/6/2017,144.29,144.52,143.45,143.66,21149034,0,1,143.1212305,143.3493675,142.2880346,142.4963336,21149034,Apple,AAPL
4/5/2017,144.22,145.46,143.81,144.02,27717854,0,1,143.0517975,144.2817533,142.6451186,142.8534176,27717854,Apple,AAPL
4/4/2017,143.25,144.89,143.17,144.77,19891354,0,1,142.0896547,143.7163704,142.0103027,143.5973424,19891354,Apple,AAPL
4/3/2017,143.71,144.12,143.05,143.7,19985714,0,1,142.5459286,142.9526075,141.8912747,142.5360096,19985714,Apple,AAPL
3/31/2017,143.72,144.27,143.01,143.66,19661651,0,1,142.5558476,143.1013925,141.8515987,142.4963336,19661651,Apple,AAPL
3/30/2017,144.19,144.5,143.5,143.93,21207252,0,1,143.0220405,143.3295295,142.3376296,142.7641466,21207252,Apple,AAPL
3/29/2017,143.68,144.49,143.19,144.12,29189955,0,1,142.5161716,143.3196105,142.0301407,142.9526075,29189955,Apple,AAPL
3/28/2017,140.91,144.04,140.62,143.8,33374805,0,1,139.768609,142.8732555,139.480958,142.6351996,33374805,Apple,AAPL
3/27/2017,139.39,141.22,138.62,140.88,23575094,0,1,138.2609212,140.0760979,137.4971583,139.738852,23575094,Apple,AAPL
3/24/2017,141.5,141.74,140.35,140.64,22395563,0,1,140.3538299,140.5918859,139.2131451,139.500796,22395563,Apple,AAPL
3/23/2017,141.26,141.5844,140.61,140.92,20346301,0,1,140.1157739,140.4375463,139.471039,139.778528,20346301,Apple,AAPL
3/22/2017,139.845,141.6,139.76,141.42,25860165,0,1,138.7122356,140.4530199,138.6279242,140.2744779,25860165,Apple,AAPL
3/21/2017,142.11,142.8,139.73,139.84,39529912,0,1,140.9588888,141.6432997,138.5981672,138.7072761,39529912,Apple,AAPL
3/20/2017,140.4,141.5,140.23,141.46,21542038,0,1,139.2627401,140.3538299,139.0941171,140.3141539,21542038,Apple,AAPL
3/17/2017,141,141,139.89,139.99,43884952,0,1,139.85788,139.85788,138.7568711,138.8560611,43884952,Apple,AAPL
3/16/2017,140.72,141.02,140.26,140.69,19231998,0,1,139.580148,139.877718,139.1238741,139.550391,19231998,Apple,AAPL
3/15/2017,139.41,140.7501,139.025,140.46,25691774,0,1,138.2807592,139.6100042,137.8988778,139.3222541,25691774,Apple,AAPL
3/14/2017,139.3,139.65,138.84,138.99,15309065,0,1,138.1716502,138.5188152,137.7153763,137.8641613,15309065,Apple,AAPL
3/13/2017,138.85,139.43,138.82,139.2,17421717,0,1,137.7252953,138.3005972,137.6955383,138.0724602,17421717,Apple,AAPL
3/10/2017,139.25,139.3571,138.64,139.14,19612801,0,1,138.1220552,138.2282877,137.5169963,138.0129462,19612801,Apple,AAPL
3/9/2017,138.74,138.79,137.05,138.68,22155904,0,1,137.6161863,137.6657813,135.9398755,137.5566723,22155904,Apple,AAPL
